id_producto,nombre,descripcion,precio
7801130794486,LÁMPARA DE CIELO 3 LUCES PYTON EGLO,"Lámpara de Techo 3 luces Pyton Eglo

Eglo, reconocida empresa Austriaca con más de 70 sucursales alrededor del mundo, llega a Paris.cl con estas increíbles y sofisticadas lámparas que le darán una nueva personalidad a tu hogar. De líneas simples y minimalistas especiales para decorar cualquier espacio de tu casa, estas lámparas están hechas bajo los más altos estándares de calidad y además cuentan con 1 año de garantía.

Características destacadas

Marca: Eglo.
Modelo: Pyton.
Material: Acero, cristal transparente.
Diseño: Transparente.
Dimensiones
Altura: 110 cm.
Largo: 51,5 cm.
Ancho: 7,5 cm.
Número de ampolletas: 3x33W G9.",162000
7801305809069,BASEMENT HOME LÁMPARA ARTICULADA SOBREMESA,"Lámpara Sobremesa
Modelo: Lámpara Articulada Sobremesa
Marca: Diseño 3
Alto: 56 cm
Ancho: 20 cm
Profundidad: 54 cm
Material: Cromo-Eco cuero
Color: Cromo
Estilo: Moderno",91000
7801357246126,LÁMPARA DE CIELO PINTO NERO EGLO,"Lámpara de Cielo Pinto Nero Eglo

Eglo, reconocida empresa Austriaca con más de 70 sucursales alrededor del mundo, llega a Paris.cl con estas increíbles y sofisticadas lámparas que le darán una nueva personalidad a tu hogar. De líneas simples y minimalistas especiales para decorar cualquier espacio de tu casa, estas lámparas están hechas bajo los más altos estándares de calidad y además cuentan con 1 año de garantía.

Características destacadas

Marca: Eglo.
Modelo: Pinto Nero.
Material: Acero, cristal negro transparente.
Diseño: Niquel mate.
Dimensiones
Altura: 110 cm.
Diámetro: 11 cm.
Número de ampolletas: 1x60W E27.",64000
7801470268777,LÁMPARA DE CIELO LORD EGLO,"Lámpara de Cielo Lord Eglo

Eglo, reconocida empresa Austriaca con más de 70 sucursales alrededor del mundo, llega a Paris.cl con estas increíbles y sofisticadas lámparas que le darán una nueva personalidad a tu hogar. De líneas simples y minimalistas especiales para decorar cualquier espacio de tu casa, estas lámparas están hechas bajo los más altos estándares de calidad y además cuentan con 1 año de garantía.

Características destacadas

Marca: Eglo.
Modelo: Lord.
Material: Plástico, cristal albastro.
Diseño: Niquel mate.
Dimensiones
Altura: 110 cm.
Diámetro: 36 cm.
Número de ampolletas: 1x100W E27.",23229
7801566649404,BASEMENT HOME LÁMPARA DE PIE TRIPODE NEGRO,"Lámpara de Pie
Modelo: Tripode
Marca: Basement Home
Alto: 176 cm
Ancho: 60 cm
Profundidad: 60 cm
Material: Acero Pintado
Color: Negro
Estilo: Moderno",78347
7801585511645,LÁMPARA DE MESA TANGA EGLO,"Lámpara Sobremesa Tanga Eglo

Eglo, reconocida empresa Austriaca con más de 70 sucursales alrededor del mundo, llega a Paris.cl con estas increíbles y sofisticadas lámparas que le darán una nueva personalidad a tu hogar. De líneas simples y minimalistas especiales para decorar cualquier espacio de tu casa, estas lámparas están hechas bajo los más altos estándares de calidad y además cuentan con 1 año de garantía.

Características destacadas

Marca: Eglo.
Modelo: Tanga.
Material: Acero, cristal transparente satinado.
Diseño: Cromado.
Dimensiones
Altura: 43 cm.
Ancho base: 6 cm.
Número de ampolletas: 1x40W G9.",67094
7801697430469,MICA LAMPARA 3 LUCES LÁGRIMAS GRIS,"Lámpara de Colgar
Marca: Mica
Modelo: Lágrimas
Color: Gris
Ancho: 45 cm
Alto: 55 cm",74708
7801888869528,LÁMPARA DE CIELO REED AMARILLO KOZIOL,"Lámpara de Cielo Reed Amarillo Koziol

Lo mejor en iluminación Alemana ha llegado a Paris, con estas hermosas lámparas, especiales para darle un diseño único a tu hoga, darle claridad a tus ambientes. ¡Aprovecha esta oportunidad y decora con lo exclusivo que trae Deco hogar Paris!

Características

Modelo: Reed P O. TR.
Altura: 27 cm+ largo cable máx 150 cm
Diámetro: 44 cm
Material de fabricación: Plástico inyectado, libre de BPA y Melamina.
Número y tipo de ampolletas que usa: E27 máx 60Watts (equivalente a 100Watts en ahorro energía)
Garantía válida sólo por defectos en los materiales de fabricación
Origen 100% Alemana

*En caso de dudas con respecto a la instalación o consultas técnicas, llamar al (56+2) 2206 4552 o escriba a info@luzco.cl",59383
7802005131603,BASEMENT HOME LÁMPARA SOBREMESA ARTICULADA CROMO,"Lámpara Sobremesa
Modelo: Articulada Cromo
Marca: Basement Home
Alto: 50 cm
Ancho: 20 cm
Profundidad: 20 cm
Material: Acero Cromado
Color: Cromo
Estilo: Moderno",51575
7802047351151,LÁMPARA DE CIELO PINTO EGLO,"Lámpara de Cielo Pinto Eglo

Eglo, reconocida empresa Austriaca con más de 70 sucursales alrededor del mundo, llega a Paris.cl con estas increíbles y sofisticadas lámparas que le darán una nueva personalidad a tu hogar. De líneas simples y minimalistas especiales para decorar cualquier espacio de tu casa, estas lámparas están hechas bajo los más altos estándares de calidad y además cuentan con 1 año de garantía.

Características destacadas

Marca: Eglo.
Modelo: Pinto.
Material: Acero, cristal transparente blanco.
Diseño: Cromado.
Dimensiones
Altura: 110 cm.
Diámetro: 11 cm.
Número de ampolletas: 1x60W E27.",63779
